ku_ja,ku_en,All,M,F,65-
北区,Kita-Ku,"123059","59413","63646","23773"
都島区,Miyakojima-ku,"104519","50229","54290","24960"
福島区,Fukushima-ku,"72892","34531","38361","14758"
此花区,Konohana-ku,"67598","33180","34418","18134"
中央区,Chuo-Ku,"97804","45537","52267","15908"
西区,Nishi-ku,"95889","45369","50520","15331"
港区,Minato-ku,"81404","40114","41290","22214"
大正区,Taish?-ku,"66523","32902","33621","20231"
天王寺区,Tenn?ji-ku,"75723","35039","40684","14770"
浪速区,Naniwa-ku,"66619","34060","32559","12597"
西淀川区,Nishiyodogawa-ku,"97203","48234","48969","24235"
淀川区,Yodogawa-ku,"175797","87159","88638","40712"
東淀川区,Higashiyodogawa-ku,"171392","84826","86566","41834"
東成区,Higashinari-ku,"82259","39578","42681","20924"
生野区,Ikuno-ku,"127601","61782","65819","38196"
旭区,Asahi-ku,"90602","43540","47062","26987"
城東区,J?t?-ku,"169224","81011","88213","42830"
鶴見区,Tsurumi-ku,"113053","54106","58947","24820"
阿倍野区,Abeno-ku,"108772","50466","58306","27771"
住之江区,Suminoe-ku,"122874","59348","63526","35892"
住吉区,Sumiyoshi-ku,"153292","72200","81092","41967"
東住吉区,Higashisumiyoshi-ku,"130687","62361","68326","37570"
平野区,Hirano-ku,"198064","94748","103316","54834"
西成区,Nishinari-ku,"107816","62712","45104","41463"
